,algorithm,num_flows,buff_size,abs_delta_l,abs_delta_l_tail,abs_delta_r,abs_delta_r_tail,ave_delta_l,ave_delta_l_tail,ave_delta_r,ave_delta_r_tail,formatted_algorithm,abs_delta_inv
90,Reno,64,89.0,2.604166666666666,1.302083333333333,8.064000000000002,4.608000000000001,2.562163978494623,1.1415608647733946,5.332645161290319,4.828954838709679,Reno,0.7680000000000001
91,Scalable,64,89.0,2.604166666666666,0.8680555555555554,6.144000000000001,4.608000000000001,2.5085334274952924,0.7008524191520039,4.634033898305084,4.28615593220339,Scalable,1.1520000000000004
92,Bbr,128,89.0,1.302083333333333,0.32552083333333326,49.15200000000001,36.86400000000001,0.9615115367383505,0.4006388029145316,20.488258064516117,18.4893935483871,BBR,3.0720000000000005
93,Cubic,128,89.0,1.302083333333333,0.6510416666666665,15.360000000000003,9.216000000000003,1.296657986111111,0.7300824450111139,8.083199999999993,7.253279999999994,Cubic,1.5360000000000003
94,Reno,128,89.0,1.302083333333333,0.6510416666666665,13.824000000000003,8.448000000000002,1.3020833333333328,0.6684899172321773,9.202526315789465,8.518736842105262,Reno,1.5360000000000003
95,Scalable,128,89.0,1.302083333333333,0.6510416666666665,12.288000000000002,9.216000000000003,1.2652567340067324,0.4774070612619445,8.432484848484846,7.930763636363633,Scalable,1.5360000000000003
96,Reno,1,112.0,1.2345679012345676,1.1904761904761902,1.6260000000000003,1.6020000000000003,1.2345679012345676,1.126126126126126,1.6260000000000003,1.6140000000000003,Reno,0.8400000000000002
97,Reno,2,112.0,1.7006802721088432,1.2437810945273629,2.1840000000000006,2.0760000000000005,1.5117157974300828,1.1119948156003296,2.1360000000000006,2.1060000000000008,Reno,0.8040000000000003
98,Reno,4,112.0,2.3148148148148144,1.344086021505376,3.504000000000001,3.1440000000000006,1.9202441077441075,1.1692611072206658,2.5020000000000007,2.4420000000000006,Reno,0.7440000000000002
99,Reno,8,112.0,1.8939393939393936,1.302083333333333,3.696000000000001,2.880000000000001,1.6999059967809964,1.1597173591658885,2.7840000000000007,2.670000000000001,Reno,0.7680000000000001
100,Reno,16,112.0,5.208333333333332,1.4880952380952377,4.128000000000001,3.0720000000000005,2.686321924603174,1.3085890527296773,3.4380000000000006,3.234000000000001,Reno,0.6720000000000002
101,Reno,32,112.0,5.208333333333332,1.7361111111111107,5.568000000000001,3.8400000000000007,3.7163628472222223,1.355192376124781,4.206000000000001,3.8514,Reno,0.5760000000000002
102,Reno,64,112.0,2.604166666666666,1.302083333333333,8.448000000000002,5.376000000000001,2.582821038251365,1.1035198033400806,5.961442622950819,5.36026229508197,Reno,0.7680000000000001
103,Reno,128,112.0,1.302083333333333,0.6510416666666665,17.664000000000005,7.6800000000000015,1.3020833333333335,0.6818203379422644,8.59908196721311,7.952104918032779,Reno,1.5360000000000003
104,Bbr,1,134.0,0.65359477124183,0.6385696040868453,2.1360000000000006,2.1240000000000006,0.65359477124183,0.6337135614702153,2.1360000000000006,2.1240000000000006,BBR,1.5660000000000005
105,Cubic,1,134.0,0.8169934640522873,0.8130081300813006,1.7640000000000005,1.7340000000000004,0.8169934640522873,0.8130081300813006,1.7640000000000005,1.7520000000000004,Cubic,1.2300000000000004
106,Reno,1,134.0,1.1337868480725621,1.0752688172043008,1.7640000000000005,1.7160000000000004,1.1337868480725621,1.0288065843621397,1.7640000000000005,1.7400000000000004,Reno,0.9300000000000003
107,Scalable,1,134.0,0.6561679790026245,0.6435006435006434,1.7940000000000005,1.7640000000000005,0.6561679790026245,0.6435006435006434,1.7940000000000005,1.7700000000000005,Scalable,1.5540000000000003
108,Bbr,2,134.0,0.6459948320413436,0.5910165484633568,2.5200000000000005,2.4600000000000004,0.6249297831704301,0.5749587615784798,2.4720000000000004,2.4360000000000004,BBR,1.6920000000000004
109,Cubic,2,134.0,1.141552511415525,1.0811979673478205,2.3280000000000007,2.2080000000000006,0.9014640863955931,0.8911470525643752,1.8720000000000006,1.8660000000000005,Cubic,0.9249000000000008
110,Reno,2,134.0,1.1574074074074072,1.0416666666666665,2.2800000000000007,2.1480000000000006,1.1128917378917378,0.9640957446808509,2.0160000000000005,1.9860000000000007,Reno,0.9600000000000002
111,Scalable,2,134.0,0.7645259938837918,0.7002801120448178,2.1000000000000005,1.9800000000000004,0.6979195625984616,0.659479893652376,1.9980000000000004,1.9440000000000004,Scalable,1.4280000000000004
112,Bbr,4,134.0,0.9920634920634919,0.6313131313131312,3.600000000000001,3.408000000000001,0.747423515685766,0.5296345281448227,3.168000000000001,3.120000000000001,BBR,1.5840000000000003
113,Cubic,4,134.0,1.1574074074074072,0.9920634920634919,2.5680000000000005,2.3280000000000007,0.9385966316909089,0.8588786797441991,2.3940000000000006,2.2860000000000005,Cubic,1.0080000000000002
114,Reno,4,134.0,1.9841269841269837,1.2626262626262623,3.3120000000000007,2.880000000000001,1.4715975081828736,1.0791227207104916,2.5740000000000007,2.5200000000000005,Reno,0.7920000000000001
115,Scalable,4,134.0,0.8680555555555554,0.8169934640522873,2.6880000000000006,2.4720000000000004,0.7957605390641103,0.7490139691226646,2.2560000000000007,2.1900000000000004,Scalable,1.2240000000000004
116,Bbr,8,134.0,1.0964912280701753,0.6313131313131312,4.608000000000001,4.224000000000001,0.8056121735531263,0.5284896236242338,3.9840000000000004,3.8880000000000003,BBR,1.5840000000000003
117,Cubic,8,134.0,1.3888888888888886,1.0964912280701753,3.2640000000000007,2.6880000000000006,1.0126933506988651,0.889963084656179,2.5980000000000008,2.4060000000000006,Cubic,0.9120000000000001
118,Reno,8,134.0,2.3148148148148144,1.302083333333333,3.7920000000000007,3.0720000000000005,1.6148441699912284,1.1117954247549833,3.030000000000001,2.9160000000000004,Reno,0.7680000000000001
119,Scalable,8,134.0,0.9920634920634919,0.7716049382716048,2.5920000000000005,2.3040000000000007,0.7970510112647207,0.6824236936272928,2.2920000000000003,2.2200000000000006,Scalable,1.2960000000000003
120,Bbr,16,134.0,2.604166666666666,0.6127450980392155,6.912000000000002,5.952000000000002,0.9382342480101524,0.5011111485067807,5.988000000000001,5.744700000000002,BBR,1.6320000000000006
121,Cubic,16,134.0,10.416666666666664,1.7361111111111107,3.936000000000001,3.1680000000000006,2.433679240319865,1.1670638292804163,3.0420000000000007,2.922450000000001,Cubic,0.5760000000000002
122,Reno,16,134.0,5.208333333333332,1.4880952380952377,5.280000000000001,3.552000000000001,2.632068452380952,1.2011155077561324,3.7140000000000013,3.5340000000000007,Reno,0.6720000000000002
123,Scalable,16,134.0,2.083333333333333,0.8012820512820511,2.976000000000001,2.4000000000000004,1.2157782177313428,0.7496063250072295,2.4840000000000004,2.37855,Scalable,1.2480000000000002
124,Bbr,32,134.0,5.208333333333332,0.7440476190476188,12.288000000000002,10.176000000000002,1.6680677952999379,0.6577734515619486,9.236571428571427,8.521885714285714,BBR,1.3440000000000003
125,Cubic,32,134.0,5.208333333333332,1.7361111111111107,6.528000000000001,4.224000000000001,2.799479166666666,1.4024522569444446,4.104000000000001,3.671700000000001,Cubic,0.5760000000000002
126,Reno,32,134.0,5.208333333333332,1.7361111111111107,5.760000000000002,3.8400000000000007,3.879123263888889,1.3130768000730992,4.2780000000000005,3.9204000000000003,Reno,0.5760000000000002
127,Scalable,32,134.0,5.208333333333332,1.0416666666666665,3.456000000000001,2.880000000000001,3.092447916666665,0.8277753949806508,3.06,2.868000000000001,Scalable,0.9600000000000002
