,algorithm,action,rounded_timestamp,num_flows,num_dropped_packets,num_packets,num_active_flows,num_dropped_flows
370,bbr,drop,0.125,2,20,156,2,2
371,bbr,drop,0.125,4,0,127,4,0
372,bbr,drop,0.125,16,0,1,1,0
373,bbr,drop,0.125,64,0,1,1,0
374,bbr,drop,0.125,128,0,2,1,0
375,bbr,drop,0.126,1,0,139,1,0
376,bbr,drop,0.126,2,19,147,2,2
377,bbr,drop,0.126,4,0,127,4,0
378,bbr,drop,0.126,8,0,1,1,0
379,bbr,drop,0.126,16,0,2,1,0
380,bbr,drop,0.126,32,0,2,1,0
381,bbr,drop,0.126,128,0,1,1,0
382,bbr,drop,0.127,1,0,138,1,0
383,bbr,drop,0.127,2,30,159,2,2
384,bbr,drop,0.127,4,0,131,4,0
385,bbr,drop,0.127,8,0,2,1,0
386,bbr,drop,0.127,16,0,1,1,0
387,bbr,drop,0.127,32,0,1,1,0
388,bbr,drop,0.127,64,0,2,1,0
389,bbr,drop,0.127,128,0,1,1,0
390,bbr,drop,0.128,1,0,138,1,0
391,bbr,drop,0.128,2,42,172,2,2
392,bbr,drop,0.128,4,19,143,4,3
393,bbr,drop,0.128,8,0,1,1,0
394,bbr,drop,0.128,16,0,2,1,0
395,bbr,drop,0.128,32,0,2,1,0
396,bbr,drop,0.128,64,0,1,1,0
397,bbr,drop,0.128,128,0,1,1,0
398,bbr,drop,0.129,1,4,141,1,1
399,bbr,drop,0.129,2,0,141,2,0
400,bbr,drop,0.129,4,60,143,4,4
401,bbr,drop,0.129,8,0,2,1,0
402,bbr,drop,0.129,32,0,1,1,0
403,bbr,drop,0.129,64,0,2,1,0
404,bbr,drop,0.129,128,0,1,1,0
405,bbr,drop,0.13,1,32,162,1,1
406,bbr,drop,0.13,2,17,147,2,2
407,bbr,drop,0.13,4,0,146,4,0
408,bbr,drop,0.13,16,0,1,1,0
409,bbr,drop,0.13,32,0,2,1,0
410,bbr,drop,0.13,64,0,1,1,0
411,bbr,drop,0.13,128,0,2,1,0
412,bbr,drop,0.131,1,26,158,1,1
413,bbr,drop,0.131,2,16,148,2,2
414,bbr,drop,0.131,4,0,161,4,0
415,bbr,drop,0.131,16,0,2,1,0
416,bbr,drop,0.131,64,0,1,1,0
417,bbr,drop,0.131,128,0,1,1,0
418,bbr,drop,0.132,1,0,138,1,0
419,bbr,drop,0.132,2,4,144,2,2
420,bbr,drop,0.132,4,6,132,4,2
421,bbr,drop,0.132,8,0,1,1,0
422,bbr,drop,0.132,16,0,1,1,0
423,bbr,drop,0.132,32,0,1,1,0
424,bbr,drop,0.132,64,0,1,1,0
425,bbr,drop,0.132,128,0,2,1,0
426,bbr,drop,0.133,1,0,139,1,0
427,bbr,drop,0.133,2,17,152,2,2
428,bbr,drop,0.133,4,44,133,4,4
429,bbr,drop,0.133,8,0,14,3,0
430,bbr,drop,0.133,16,0,2,1,0
431,bbr,drop,0.133,32,0,2,1,0
432,bbr,drop,0.133,64,0,1,1,0
433,bbr,drop,0.134,1,0,138,1,0
434,bbr,drop,0.134,2,16,146,2,2
435,bbr,drop,0.134,4,42,158,4,4
436,bbr,drop,0.134,8,0,51,7,0
437,bbr,drop,0.134,16,0,1,1,0
438,bbr,drop,0.134,32,0,1,1,0
439,bbr,drop,0.134,64,0,2,1,0
440,bbr,drop,0.134,128,0,1,1,0
441,bbr,drop,0.135,1,0,138,1,0
442,bbr,drop,0.135,2,14,148,2,2
443,bbr,drop,0.135,4,0,160,4,0
444,bbr,drop,0.135,8,0,78,8,0
445,bbr,drop,0.135,16,0,2,1,0
446,bbr,drop,0.135,32,0,2,1,0
447,bbr,drop,0.135,64,0,1,1,0
448,bbr,drop,0.135,128,0,2,1,0
449,bbr,drop,0.136,1,0,139,1,0
450,bbr,drop,0.136,2,39,170,2,2
451,bbr,drop,0.136,4,0,147,4,0
452,bbr,drop,0.136,8,0,85,8,0
453,bbr,drop,0.136,32,0,1,1,0
454,bbr,drop,0.136,64,0,2,1,0
455,bbr,drop,0.136,128,0,1,1,0
456,bbr,drop,0.137,1,0,138,1,0
457,bbr,drop,0.137,2,9,148,2,2
458,bbr,drop,0.137,4,45,122,4,4
459,bbr,drop,0.137,8,0,106,8,0
460,bbr,drop,0.137,16,0,1,1,0
461,bbr,drop,0.137,128,0,1,1,0
462,bbr,drop,0.138,1,19,151,1,1
463,bbr,drop,0.138,2,4,138,2,1
464,bbr,drop,0.138,4,39,124,4,4
465,bbr,drop,0.138,8,0,123,8,0
466,bbr,drop,0.138,16,0,2,1,0
467,bbr,drop,0.138,32,0,2,1,0
468,bbr,drop,0.138,64,0,1,1,0
469,bbr,drop,0.138,128,0,1,1,0
470,bbr,drop,0.139,1,45,172,1,1
471,bbr,drop,0.139,2,27,154,2,2
472,bbr,drop,0.139,4,0,140,4,0
473,bbr,drop,0.139,8,40,123,8,7
474,bbr,drop,0.139,16,0,1,1,0
475,bbr,drop,0.139,32,0,1,1,0
476,bbr,drop,0.139,64,0,2,1,0
477,bbr,drop,0.139,128,0,1,1,0
478,bbr,drop,0.14,1,0,139,1,0
479,bbr,drop,0.14,2,0,142,2,0
480,bbr,drop,0.14,4,0,156,4,0
481,bbr,drop,0.14,8,85,124,8,8
482,bbr,drop,0.14,16,0,2,1,0
483,bbr,drop,0.14,32,0,2,1,0
484,bbr,drop,0.14,64,0,1,1,0
485,bbr,drop,0.14,128,0,2,1,0
486,bbr,drop,0.141,1,0,137,1,0
487,bbr,drop,0.141,2,11,150,2,2
488,bbr,drop,0.141,4,0,141,4,0
489,bbr,drop,0.141,8,42,124,8,8
490,bbr,drop,0.141,32,0,1,1,0
491,bbr,drop,0.141,64,0,2,1,0
492,bbr,drop,0.141,128,0,1,1,0
493,bbr,drop,0.142,1,0,139,1,0
494,bbr,drop,0.142,2,15,146,2,2
495,bbr,drop,0.142,4,28,122,4,4
496,bbr,drop,0.142,8,0,164,8,0
497,bbr,drop,0.142,16,0,1,1,0
498,bbr,drop,0.142,32,0,2,1,0
499,bbr,drop,0.142,128,0,2,1,0
500,bbr,drop,0.143,1,0,139,1,0
501,bbr,drop,0.143,2,14,146,2,2
502,bbr,drop,0.143,4,30,156,4,4
503,bbr,drop,0.143,8,0,123,8,0
504,bbr,drop,0.143,16,0,2,1,0
505,bbr,drop,0.143,64,0,1,1,0
506,bbr,drop,0.144,1,0,137,1,0
507,bbr,drop,0.144,2,31,163,2,2
508,bbr,drop,0.144,4,3,157,4,2
509,bbr,drop,0.144,8,75,123,8,7
510,bbr,drop,0.144,16,0,1,1,0
511,bbr,drop,0.144,32,0,1,1,0
512,bbr,drop,0.144,64,0,2,1,0
513,bbr,drop,0.144,128,0,1,1,0
514,bbr,drop,0.145,1,0,139,1,0
515,bbr,drop,0.145,2,21,158,2,2
516,bbr,drop,0.145,4,0,145,4,0
517,bbr,drop,0.145,8,49,131,8,8
518,bbr,drop,0.145,16,0,2,1,0
519,bbr,drop,0.145,32,0,2,1,0
520,bbr,drop,0.145,64,0,1,1,0
521,bbr,drop,0.145,128,0,2,1,0
522,bbr,drop,0.146,1,0,138,1,0
523,bbr,drop,0.146,2,0,137,2,0
524,bbr,drop,0.146,4,48,150,4,4
525,bbr,drop,0.146,8,33,159,8,7
526,bbr,drop,0.146,32,0,1,1,0
527,bbr,drop,0.146,64,0,2,1,0
528,bbr,drop,0.146,128,0,1,1,0
529,bbr,drop,0.147,1,53,177,1,1
530,bbr,drop,0.147,2,15,144,2,2
531,bbr,drop,0.147,4,0,132,4,0
532,bbr,drop,0.147,8,0,149,8,0
533,bbr,drop,0.147,16,0,1,1,0
534,bbr,drop,0.147,32,0,2,1,0
535,bbr,drop,0.147,128,0,2,1,0
536,bbr,drop,0.148,1,2,141,1,1
537,bbr,drop,0.148,2,0,140,2,0
538,bbr,drop,0.148,4,0,159,4,0
539,bbr,drop,0.148,8,0,147,8,0
540,bbr,drop,0.148,16,0,2,1,0
541,bbr,drop,0.148,32,0,1,1,0
542,bbr,drop,0.148,64,0,1,1,0
543,bbr,drop,0.149,1,0,138,1,0
544,bbr,drop,0.149,2,0,143,2,0
545,bbr,drop,0.149,4,0,143,4,0
546,bbr,drop,0.149,8,6,120,8,2
547,bbr,drop,0.149,16,0,1,1,0
548,bbr,drop,0.149,64,0,2,1,0
549,bbr,drop,0.149,128,0,1,1,0
550,bbr,drop,0.15,1,0,138,1,0
551,bbr,drop,0.15,2,14,148,2,2
552,bbr,drop,0.15,4,9,122,4,3
553,bbr,drop,0.15,8,39,124,8,8
554,bbr,drop,0.15,16,0,2,1,0
555,bbr,drop,0.15,32,0,2,1,0
556,bbr,drop,0.15,64,0,1,1,0
557,bbr,drop,0.15,128,0,2,1,0
558,bbr,drop,0.151,1,0,139,1,0
559,bbr,drop,0.151,2,14,143,2,2
560,bbr,drop,0.151,4,29,141,4,4
561,bbr,drop,0.151,8,29,130,8,8
562,bbr,drop,0.151,32,0,1,1,0
563,bbr,drop,0.151,64,0,2,1,0
564,bbr,drop,0.151,128,0,1,1,0
565,bbr,drop,0.152,1,0,137,1,0
566,bbr,drop,0.152,2,17,152,2,2
567,bbr,drop,0.152,4,5,159,4,3
568,bbr,drop,0.152,8,16,158,8,7
569,bbr,drop,0.152,32,0,2,1,0
570,bbr,drop,0.152,128,0,2,1,0
571,bbr,drop,0.153,1,0,139,1,0
572,bbr,drop,0.153,2,39,171,2,2
573,bbr,drop,0.153,4,0,148,4,0
574,bbr,drop,0.153,8,30,162,8,6
575,bbr,drop,0.153,16,0,1,1,0
576,bbr,drop,0.153,32,0,1,1,0
577,bbr,drop,0.153,64,0,1,1,0
578,bbr,drop,0.154,1,0,139,1,0
579,bbr,drop,0.154,2,0,138,2,0
580,bbr,drop,0.154,4,31,139,4,4
