,algorithm,action,rounded_timestamp,num_flows,num_dropped_packets,num_packets,num_active_flows,num_dropped_flows
459,bbr,drop,355.0,16,106,768,15,14
460,bbr,drop,355.0,32,224,864,27,24
461,bbr,drop,355.0,64,131,791,48,39
462,bbr,drop,355.0,128,106,506,76,46
463,bbr,drop,360.0,1,42,722,1,1
464,bbr,drop,360.0,2,51,732,2,2
465,bbr,drop,360.0,4,127,783,4,4
466,bbr,drop,360.0,8,100,762,8,8
467,bbr,drop,360.0,16,57,733,15,12
468,bbr,drop,360.0,32,212,845,27,26
469,bbr,drop,360.0,64,138,797,47,37
470,bbr,drop,360.0,128,329,577,113,106
471,bbr,drop,365.0,1,1,692,1,1
472,bbr,drop,365.0,2,59,739,2,2
473,bbr,drop,365.0,4,110,769,4,4
474,bbr,drop,365.0,8,85,758,8,8
475,bbr,drop,365.0,16,93,759,15,14
476,bbr,drop,365.0,32,161,809,26,24
477,bbr,drop,365.0,64,106,768,47,36
478,bbr,drop,365.0,128,193,582,101,82
479,bbr,drop,370.0,1,47,727,1,1
480,bbr,drop,370.0,2,50,724,2,2
481,bbr,drop,370.0,4,118,780,4,4
482,bbr,drop,370.0,8,109,773,8,8
483,bbr,drop,370.0,16,63,737,15,13
484,bbr,drop,370.0,32,206,840,25,22
485,bbr,drop,370.0,64,126,781,47,37
486,bbr,drop,370.0,128,176,596,96,76
487,bbr,drop,375.0,1,43,723,1,1
488,bbr,drop,375.0,2,56,729,2,2
489,bbr,drop,375.0,4,70,743,4,4
490,bbr,drop,375.0,8,138,788,8,8
491,bbr,drop,375.0,16,99,763,16,15
492,bbr,drop,375.0,32,225,845,25,25
493,bbr,drop,375.0,64,136,786,47,38
494,bbr,drop,375.0,128,180,609,89,69
495,bbr,drop,380.0,1,0,690,1,0
496,bbr,drop,380.0,2,80,753,2,2
497,bbr,drop,380.0,4,60,735,4,4
498,bbr,drop,380.0,8,103,762,8,8
499,bbr,drop,380.0,16,159,807,16,16
500,bbr,drop,380.0,32,229,862,25,24
501,bbr,drop,380.0,64,91,759,47,32
502,bbr,drop,380.0,128,220,556,84,75
503,bbr,drop,385.0,1,47,727,1,1
504,bbr,drop,385.0,2,68,745,2,2
505,bbr,drop,385.0,4,81,750,4,4
506,bbr,drop,385.0,8,105,772,8,8
507,bbr,drop,385.0,16,127,784,16,16
508,bbr,drop,385.0,32,213,841,25,24
509,bbr,drop,385.0,64,128,784,47,41
510,bbr,drop,385.0,128,153,365,75,61
511,bbr,drop,390.0,1,5,695,1,1
512,bbr,drop,390.0,2,89,754,2,2
513,bbr,drop,390.0,4,82,749,4,4
514,bbr,drop,390.0,8,100,766,8,8
515,bbr,drop,390.0,16,175,817,16,16
516,bbr,drop,390.0,32,228,856,25,25
517,bbr,drop,390.0,64,96,763,47,28
518,bbr,drop,390.0,128,155,378,69,56
519,bbr,drop,395.0,1,39,720,1,1
520,bbr,drop,395.0,2,56,728,2,2
521,bbr,drop,395.0,4,92,761,4,4
